crawlid,url,userinfo,message,pros,cons,title,make,model
849,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15060&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y day","10 plus ","excellent 
","nothing 
","the best for the money by daytona jack on 10/20/2012. Trim: 2013 Hyundai Veloster Turbo, Owned less than 1 year. Useful? ",HYUNDAI,VELOSTER
850,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15060&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Karen Nashville TN","Great vehicle! ","Great styling, awesome gas mileage (over 38 mph), seats well and is very comfortable. Fun to drive. 
","can't sit in the back seat if you are really tall 
","Stylish and Fun by Karen Nashville TN on 10/18/2012. Trim: 2013 Hyundai Veloster Base, Owned less than 1 year. Useful? ",HYUNDAI,VELOSTER
851,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15060&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Leadfoot","Great fuel mileage for a perfomance car, turns alot of heads. ","We own the 6 speed turbo..fun and fast, very good handling,comfortable and roomy enough for two. Great sound system and the nav and screen are great. 
","Nothing yet 
","Little Factory Hotrod by Leadfoot on 10/14/2012. Trim: 2013 Hyundai Veloster Turbo, Owned less than 1 year. Useful? ",HYUNDAI,VELOSTER
852,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15060&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y robert","love it ","Just love the way it looks 
","none 
","The best by robert on 10/11/2012. Owned less than 1 year. Useful? ",HYUNDAI,VELOSTER
853,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15060&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Ruger338","Not for everybody but if you test drive one be careful it will hook you. I did not go to the dealership to purchase this car, one test drive later I was signing papers. ","Love the stylng and the comfort of the interior. The Navigation and stero is superb, having just relocated to a new state is has made it really easy to get around. There is plenty of room and while not a race car it looks it and gets plenty of attention. I bought mine with style and navigation packages. Out the door for $23K and the dealer (Rick Case in Ohio) bumped the warranty to 200K. 
","Nothing yet my commute is a mixture of highway/streets and I am getting 33 mpg. 
","White Veloster Rocks! by Ruger338 on 09/29/2012. Trim: 2013 Hyundai Veloster Base, Owned less than 1 year. Useful? ",HYUNDAI,VELOSTER
854,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15060&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y SheRa from Texas","10 out of 10 ","The seats in my Veloster are so comfortable, I don't even mind my 104 mile RT commute every day. I love the Bluetooth, the sound system and the fact that it looks like a two door. I really like the trunk space and the fact that I can have 4 seats if I need it. All in all a really great car and one that I am proud to own! 
","I have changed my driving habits to accomodate the engine and pick up. I average 48 plus mpg with my Eco Coach, and I love the MPG, so there isn't anything I don't like! 
","Versatile Veloster by SheRa from Texas on 09/24/2012. Trim: 2013 Hyundai Veloster Base, Owned less than 1 year. Useful? ",HYUNDAI,VELOSTER
855,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15060&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y William T","I'm really glad I bought this car. ","Styling, looks, gas mileage. This car reflects my attitide not my age. 
","Nothing. 
","What a Car! by William T on 09/05/2012. Trim: 2013 Hyundai Veloster Base, Owned less than 1 year. Useful? ",HYUNDAI,VELOSTER
856,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15060&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Dave from North Carolina","Really like this vehicle gets a lot of looks on the road also when I go places I get a lot of questions asked about the car. When traveling on the freeways I average between 37-39 miles per gallon. A very comfortable ride. The third door is great and makes it very easy to get in and out when you have 4 riders. Also great trunk room. ","Rides well, handles and corners well and great gas milage. 
","Nothing 
","Great Car by Dave from North Carolina on 08/23/2012. Trim: 2013 Hyundai Veloster Base, Owned less than 1 year. Useful? ",HYUNDAI,VELOSTER
857,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15060&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Vivienne's Owner","I love my little Veloster! I'm sure it will go down in my history books as one of my favorite cars. I plan to keep it long enough to pass on to my kids. (I'm currently child-less so I'll be holding on to it for a LONG time!) ","I really love the styling. It's so cute and it's a definite head turner. I get lots of compliments and questions. I love having a car that no ones really seen before. This car has so many features, many of them standard, that I couldn't pass it up. I was looking at a Honda Accord Coupe but after loading it up with all the features I wanted, I was going to have to pay way more than I wanted. I was able to get the Veloster fully loaded and stay well within my price range. I knew I wanted a coupe but the 3rd door is such a cool feature. I love that my friends can get in the back without me having to adjust my front seats. Lots of room inside. I can even fit my bike inside comfortably. 
","Just like the other reviewers, I wish it had a little more power under the hood. That's really my only complaint. The ride isn't as smooth as my last car (Nissan Maxima) but it's still a nice ride. I have to remember that it sits low to the ground and it's not a sedan. I live in the city, so I just try to avoid the potholes because you can definitely feel them in this car. 
","Love my Veloster AKA Vivienne by Vivienne's Owner on 08/03/2012. Trim: 2013 Hyundai Veloster Base, Owned less than 1 year. Useful? ",HYUNDAI,VELOSTER
858,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15060&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Pete from Las Vegas","Besides the sluggish engine the car overall is an amazing product. I have owned mine a couple months now and love it. I would definately reccomend it as an option, if it wasn't for the stylish body style I would have swayed towards the elantra which my parents own and is a great car, along with a little kick to the engine. ","The car handles very well and is a very smooth ride. Along with the technology and the gas mileage it is overall a great car, one of my favorites that I have owned. 
","It is quite a bit underpowered, I have heard the new velosters will have a turbo option that im sure will make a significant difference. But it is very sluggish even for a small mpg saver. 
","Sporty little gas saver by Pete from Las Vegas on 07/30/2012. Trim: 2013 Hyundai Veloster Base, Owned less than 1 year. Useful? ",HYUNDAI,VELOSTER
859,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14566&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Nana from Bama","We have enjoyed owning this vehicle,using it around town as well as on long trips. We have not encountered any real problems with it at all. ","I bought it because I needed something to help haul 6 grandchildren and we have been quite pleased with its performance. 
","The original tires have been troublesome. 
","A comfortable, pleasing ride. by Nana from Bama on 07/31/2012. Owned 1 year. 5 ",HYUNDAI,VERACRUZ
860,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14566&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Ken from Texas","The Veracruz is worth considering if you are looking at the Lexus RX350. This car has a more powerful engine, more interior room and seats, and a better warranty. Resale value probably isn't so great due to lack of demand. If I were doing this purchase over I would test drive the acura mdx. ","I own the 2008 limited version of the hyundai veracruz, which is loaded with features. I had considered buying the Lexus RX350 but the Veracruz offered far more features and a better warranty for much less. I especially like the (very comfortable) third row of fold down seats, which allows me to carry seven passengers. The remote power liftgate in back is fantastic. Seats are comfortable and there is plenty of legroom and headroom. Power sunroof is nice. Integrated garage door opener in rearview mirror is great. Heated side-view mirrors, auto temperature controls, ergonomic everything. Plenty of interior lights and cupholders. Enough airbags to make you feel very safe. 
","Lowsy gas mileage averaging 18 mpg in combined city/highway driving, which leads to a short driving range of around 320 miles per tank of fuel. After 60,000 miles I can report that the car has had some reliability issues including having several suspension components replaced (under warranty). A software upgrade affected driveability at 35-40 mph making the car's transmission upshift too early leading to a loss in torque and some shaking in steady speed driving. It took 3 visits to the dealer but now the problem appears fixed. I lost one of my two electronic key fobs and had to pay $250 for another! Made me miss the days of the 99 cent car key. 
","Veracruz loaded with features by Ken from Texas on 06/11/2012. Trim: 2012 Hyundai Veracruz Limited, Owned 1 year. 5 ",HYUNDAI,VERACRUZ
861,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14566&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y serious buyer in Seattle","Too expensive. I went for a Durango instead, a bit more expensive but loaded with accessories. ","very attractive 
","accessories seemed bleak. I couldn't believe I couldn't get this car with navigation??? Would have had to go aftermarket. I thought the price was high for what I was getting. 
","nice two people car by serious buyer in Seattle on 05/21/2012. Trim: 2012 Hyundai Veracruz Limited AWD. 4 ",HYUNDAI,VERACRUZ
862,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14566&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Bob from Myrtle Beach SC","Very nice vehicle ","Love the way it handles and am very comfortable with the seating 
","The gas mileage is not what I expected... Am getting around 13-14 miles per gallon city 
","A very nice comfortable car by Bob from Myrtle Beach SC on 01/05/2013. Trim: 2012 Hyundai Veracruz Limited, Owned 1 year. 3 ",HYUNDAI,VERACRUZ
863,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14566&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y TX","I would recommend this vehicle to anyone in the market for a SUV. ","A nice reliable vehicle at an afordable price 
","There are no cons, in my opinion. 
","Great Car by TX on 12/31/2012. Owned less than 1 year. 3 ",HYUNDAI,VERACRUZ
864,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14566&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y M","Love it! ","Comfortable ride.Responds well to acceleration. 
","Nothing i can think of. 
","Best Crossover by Moon-Texas on 12/04/2012. Trim: 2012 Hyundai Veracruz Limited, Owned 1 year. Useful? ",HYUNDAI,VERACRUZ
865,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15096&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Rob","Excellent ride combined with a ton of luxury features. My only real complaint is the poor gas mileage. ","The car is beautiful inside and has excellent handling and killer acceleration; a beast on the road. I have the journey, which includes everything from premium sound, back up camera, heated seats and a ton of other features that are too numerous to name. 
","Poor gas mileage - 17MPG. Infiniti really should make their engines more efficient.Exterior should also be updated to look more like a crossover than a wagon. 
","Killer Crossover by Rob on 08/19/2013. Trim: 2013 Infiniti EX 37 Journey AWD, Owned less than 1 year. Useful? ",INFINITI,EX
866,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15096&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Arthur...Dallas","See above ","Absolutely beautiful interior, stylish...3 different colors of wood grain inside...went from dark wood to light to medium....sometimes would just stare at the flow of the interior. Awesome pick up...this car just goes....we are now on our 3rd infiniti and will never look back. We now own the G37 and Fx 35. There is nothing like an infiniti...you will be hooked the secone you push the button and hear the roar of the engine. 
","Nothing....small back seat...no trunk space. 
","power and style by Arthur...Dallas on 03/30/2013. Owned 1 year. 1 ",INFINITI,EX
867,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15096&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Russ from Park Ridge, NJ","Bought 2, I liked it so much. ","Seating comfortable. Pickup great. Ride smooth. Very reliable after 50,000 miles so far. 
","Trunk space small for a vehicle so big. 
","Great vehicle. by Russ from Park Ridge, NJ on 12/24/2012. Owned less than 1 year. 10 ",INFINITI,EX
868,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15087&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Jim","A great car. So many standard features compared to it's competitors. If you haven't driven one, it is worth your time. This is my second one, much better than the 06' I had. ","AWESOME! A great ridding SUV, solid and steady. Plenty of power and gadgets. 
","Fuel consumption; but you don't buy a luxury SUV for gas mileage. 
","Best SUV out there by Jim on 07/10/2013. Trim: 2013 Infiniti FX 37 RWD, Owned less than 1 year. 5 ",INFINITI,FX
869,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15087&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Deniskill, Nigeria","Realiability and appearance the car is perfect. ","Mee.... this car is too much, if it not infiniti FX it not infiniti FX. Infact, it is perfectly okay; Durability, interiorly, appearancely, comfort, high speed. this is a dream car which i must get. please GET ME ONE, i can't let it go. 
","really the cons of this car are Fuel consumption is high, like the 2004, 2005 model Dashbod are given problem. I mean it peal and cut after a while. (Well this might have to do with climate condition in different region, but i am speaking in what i experience in Nigeria)please check out. 
","Infinity FX35/45 is an ""Ultimate Luxury Car"" by Deniskill, Nigeria on 07/02/2013. Trim: 2013 Infiniti FX 37 AWD Limited Edition. 3 ",INFINITI,FX
870,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14984&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Thomas in ","This is a wonderfully fun car to drive and it's crisp lines with beautiful interior makes it spectacular. ","I've only owned this auto for three months but it has been a joy to own and I expect that it will be fun and reliable for years to come. The fit and finish is superb and is as good or maybe a shade better than my 2012 E350 Mercedes. The interior is well planned and the controls just ""fall to your hand""- meaning every control is properly positioned. Handling is precise and the exhaust has a pleasant snarl. 
","I can't say that I consider this a ""dislike"". However, with a seven speed transmission, I'm somewhat surprised that the fuel mileage is not better at least on the highway. City driving fuel mileage can be expected to be on the lower side, but the highway mileage really should be at 28-30 instead of my experienced 24- 25 mpg. I say that because my E350 will get 30+ mpg all day and night on the road. 
","Beautiful Driving Machine by Thomas in Montgomery on 12/28/2013. Trim: 2013 Infiniti G Convertible 37, Owned less than 1 year. 1 ",INFINITI,GCONVERTIBLE
871,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14984&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Rey from Miami","Over all is a very good car and good pricing compare to other similar cars. ","My first convertible, fun car to drive with a quick roof open and close, very nice looking inside and out. Good performance and handle, very comfortable front seat, unusual on sport cars. Great service at South Motor Infinity, service advisor Steve, will definitely recommend this car to anyone. 
","When roof is close the car should be less noisy…. It doesn’t bother me much I have it open most of the time. 
","First convertable by Rey from Miami on 02/07/2013. Trim: 2013 Infiniti G Convertible 37, Owned 1 year. Useful? ",INFINITI,GCONVERTIBLE
872,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14984&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Gary, Knoxville TN","The best of the best! ","This is my fourth new Infiniti. Of the four, three are of the G series. Again, as expected, the quality of this car is outstanding. Achieving 90-100 miles per hour on the interstate is effortless and surprising. I will never own anything except an Infiniti. They are the best built cars on the road. Matt Stegall and the entire staff at Harper Infiniti of Knoxville, TN are beyond the best. 
","Absolutely nothing. 
","Nothing Better Than An Infiniti! by Gary, Knoxville TN on 12/01/2012. Trim: 2013 Infiniti G Convertible 37, Owned less than 1 year. Useful? ",INFINITI,GCONVERTIBLE
873,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14986&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y dcfan","Performance that matches a 335i and smokes an A5 for about $200 less per month on a lease. ","Performance and handling are great. Very fun to drive fast when you can. Driving position very comfortable. First rate nav and sound system. 
","Interior is getting kind of old. Not up to par with competition or new Q50. Exterior styling still same as 2008. 
","Fast, fun by dcfan on 08/21/2013. Trim: 2013 Infiniti G Coupe 37x AWD, Owned less than 1 year. Useful? ",INFINITI,GCOUPE
874,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14986&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Imteyaz","I'm in love with it..!! ","nissan makes the best v6's in the world , styling is just like icing on a cake and the tech is just mind boggling , actually the tech doesn't bother me one bit , its the performance that i fell in love with , i'm gonna own one some day. 
","Can't tell untill i own one and there won't be any cons hopefully. 
","The ultimate G by Imteyaz on 04/16/2013. Useful? ",INFINITI,GCOUPE
875,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14986&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y AlohaJoe 1960","I like a car to be a little less than common place. There are so many BMW's on the road that I shy away from them. In pretty much every category that matters the Infiniti G is the equal of a 3 series. 0-60 time, handling, comfort are all on a par with the 335. I feel confident when driving and know the car will do what I need it to do when I need it to do it. ","At 6'2"" I can easily enter and exit the car, plenty of room and plenty of seat adjustment. It is great knowing the power to weight ratio is among the best and lets me drive with confidence. Great handling, power, and braking. 
","So far nothing although an increase in torque would make it even more competitive with the BMW 335 series. 
","BMW alternative by AlohaJoe 1960 on 03/11/2013. Trim: 2013 Infiniti G Coupe 37x AWD, Owned less than 1 year. 1 ",INFINITI,GCOUPE
876,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14986&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Jeff from San Diego","If you want a fun to drive car with plenty of gadgets at a reasonable price, this is the car to buy. I was all set to buy a BMW 328i when I decided to look at the Infiniti, and am I glad that I did. I got the G37S, which is more closely matched to the 335i option wise, at the same price I would have paid for the 328i with leatherette seats, without power seats or sunroof. I was driving a BMW 750Li and thought I might miss some of luxury features but was pleased when I realized that the Infiniti had all of the ones that I actually used in it. ","The exterior of the G37 Coupe is one of the best looking in its class. The car comes standard with features that are options on most of its competitors, such as leather seats, heated seats, navigation, and sunroof. It has all the sportiness that makes driving fun and the luxury that makes driving pleasant. All controls are well laid out and easy to use. The display screen is large and easily viewed while driving and when the car is parked can be used to watch movies via the integrated DVD player. While driving on the highway the navigation screen displays the legal speed limit, which is great when traveling through different states. Finally there is the sound of the exhaust, EXCELLENT! 
","The seatbelt assist lever could use some improvement, however it serves the purpose of making the belt easier to reach. Also the cup holders could use a redesign; they are square shaped now and I think infiniti could make them round, like most cups are. The back seats are tight and the headroom in the back is minimum, however this is a sports car. Trunk space is also limited but if you need more room there is always the G Sedan. 
","Great Luxury Sport Mix by Jeff from San Diego on 01/05/2013. Trim: 2013 Infiniti G Coupe 37 Sport 6MT, Owned less than 1 year. 2 ",INFINITI,GCOUPE
877,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15177&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y jmatty from new jersey","best car i ever owned ","great looking car. fantastic acceleration. smooth but sporty ride, superior handling. great brakes. interior is luxury at its best.. all options makes this car a top vehicle. get one and try it for yourself. 
","i like everything. 
","bmw killer by jmatty from new jersey on 12/04/2012. Trim: 2013 Infiniti G Sedan 37x AWD, Owned less than 1 year. 11 ",INFINITI,GSEDAN
878,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15177&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y An MSN Autos ","I don't think you can get a nicer faster more equipped car for the money period. ","I owned a 2010 and 2013 yes I leased this car twice! they practically pay you to drive it and for the money it is almost as nice as the 335i I drove prior to G37. $200 less per month and more horsepower and basically all the same bells and whistles. If you like luxury sport power speed and handling - but don't want to pay a ton then you must get this car! 
","the 2010 model had a usb port AND an auxilary port AND a built in hard drive you could copy cd's onto. the 2013 only has the usb port so its a little harder to manage the 300plus songs i like to have handy. but for the techies these days it will probably be no big deal. also i wish more cars would spring for rain sensing wipers. once you have them its a real pain to constantly adjust the wiper speed - on, off, fast intermittent, slower, etc. etc. that's about all i can complain about:) 
","Two time G37 owner weighs in by An MSN Autos Consumer on 04/13/2013. Trim: 2013 Infiniti G Sedan 37 Journey, Owned less than 1 year. 3 ",INFINITI,GSEDAN
879,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15177&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Dentx","Great value for the price. I am definately going to buy another one. ","Own a 2008 G37 Coupe great car very comfortable.I bought a 2012 sedan for the wife and me for trips. I am 6 ft 4 and 300 lbs and drove the car from Houston Tx to Boothbay Harbor Maine four times, Great ride very comfortable and plenty of room for me and the wife. Luggage capacity is tight on the coupe and more than enough for two people on the sedan. 
","Nothing however I would never buy a car again with Bridgestone tires the car came with equipt with them and they were a joke. 
","Get this car! by Dentx on 05/14/2013. Trim: 2013 Infiniti G Sedan 37 Journey, Owned less than 1 year. 1 ",INFINITI,GSEDAN
880,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15177&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y InfinitiSmile","Fantastic car ","Very fast, very comfortable, 2 yrs and 37,000 miles no problems. Doesn't seem right to love a material thing this much, lifts my spirits just getting in it 
","Interior can feel a little tight, I'm 6ft 215lbs 
","Best car I've ever owned, hands down by InfinitiSmile on 03/01/2013. Trim: 2013 Infiniti G Sedan 37 Journey, Owned 1 year. 1 ",INFINITI,GSEDAN
881,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15177&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Justin R from ","This is the 5th Infiniti in the family and they have all been beautifully made cars. The g37x is a BMW killer for much less money. The car feels like a sports car when you want to have fun and is smooth and quiet when you are just trying to get home. Nothing else in the smaller luxury cars comes close to the g37 in price, standard equipment, or performance characteristics. Feels like the car is much more expensive then it is. As a techie the media system is a bit disappointing functionality wise, not very Android friendly, and sometimes has a problem using music sources from iPod rather then music (specifically Spotify).Overall the car is incredible, take one for a test drive and you will understand. In the price range you cant do better then the speed and equipment of this sedan. I have never driven this car without a huge smile on my face. ","Acceleration is brutal. Engine note is fantastic. Handling is great even in the snow (AWD). Interior is nicely appointed, and mostly everything is standard. The styling is incredible, the car is truly stunning to look at. Bose sound system is very clear and very loud. Car guide in the backup cam is surprisingly very useful. Heater goes up to 90 and mimics tropical conditions. 
","If you have a heavy foot don't expect to pass by many gas stations. The steering wheel is wearing a bit quickly. Bose system could have more bass (but that's not their thing anyway). Only USB connection on 2013 model, AUX would be nice (some had this). If you brake sharply in sport mode then accelerate briefly the engine sometimes hangs around 3100 RPM no matter accelerator position, can be very shocking when it happens the first time (could just be mine also). 
","Inexpensive well equipped sports sedan will always put a smile on your face by Justin R from Long Valley, NJ on 01/12/2014. Trim: 2013 Infiniti G Sedan 37x AWD, Owned 1 year. Useful? ",INFINITI,GSEDAN
882,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15177&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y K","Great price for an entry level luxury sedan. Previous vehicle was an 2009 Acura TL, and this G37 misses some of the attention to detail stuff. Overall if your looking for a entry level high performance sedan (i.e acceleration handling and braking) this is your vehicle. If your looking for a good balance of everything in the entry level luxury category, go with the Acura TL. ","Great acceleration, great braking! 
","Small cabin, very tight. Small trunk 
","Great value in its category!! by Keon on 01/08/2014. Trim: 2013 Infiniti G Sedan 37 Journey, Owned 1 year. Useful? ",INFINITI,GSEDAN
883,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15177&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Ja","This is a great 4-door sedan. I was looking for a 4 door with a heart of a sports car and this is it! ","It has great performance, and handling. The fit and finish is great. 
","I would say the largest drawback to this vehicle is the gas milage. I end up getting 22.8 with a mix of city/highway. It isn't bad, but it should be better. 
","A 4 door with the heart of a sports car... by Jason on 11/29/2013. Trim: 2013 Infiniti G Sedan 37x AWD, Owned less than 1 year. Useful? ",INFINITI,GSEDAN
884,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15177&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Terry from Ft. Collins","Given the competitors in the class - along with those cars a step below - you can probably get a better value. ","Nice car. Third Infiniti owned - G20, M35 and G37. Great acceleration and well put together. 
","Wind noise from the back windows - never was fixed correctly. Tight fit and the seats are not as comfortable as other cars (M35 by far the best seats ever). Poor gas mileage compared to others in the class. 
","Nice car but.... by Terry from Ft. Collins on 08/18/2013. Trim: 2013 Infiniti G Sedan 37x AWD, Owned 1 year. Useful? ",INFINITI,GSEDAN
885,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15177&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Ant","This is a fun car to drive and with all-wheel drive, the driver always feels in control. The interior is luxurious, with plenty of seat adjustments to ensure a perfect fit for both the driver and the passenger. There's plenty of room in the backseat, and the V-6 engine provides plenty of power, but at a cost of lower gas mileage. The interior shows great fit and finish, but the exterior styling is a bit boring, with not much hint of the luxurious interior or the sports sedan capability. A good alternative to the BMW 328i or Cadillac ATS, but not quite as much fun to drive as either of those two cars. However, fully loaded, it does provide more value than either of those two cars. ","Great feeling car with wonderful interior and great electronics. All-wheel drive makes the car feel sure footed on curves and wet pavement. Acceleration and handling are very good. High quality fit and finish. 
","Gas mileage is lower than competitive cars in this class. The six-cylinder engine is surprisingly more intrusive into the cabin than many competitive cars. Outer car styling is a bit boring, with not much hint of either the luxury within or the sports nature of the car. 
","Great value in a luxury sports sedan by Anthony from Vancouver WA on 03/04/2013. Trim: 2013 Infiniti G Sedan 37 Sport 6MT. Useful? ",INFINITI,GSEDAN
886,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15177&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y An MSN Autos ","I strongly recommend this vehicle for anyone who is looking for a fun and reliable car to drive. I have no doubt that I will be buying another one in a few years. You will not be disappointed if you buy this car. ","I loved my 2009 G37 so much, I bought a 2013. Great looks inside and out. Acceleration is awesome and the car handles fast and smooth. I love the power and the gas mileage isn't bad for a sports car (approx. 22 mpg). Great value compared to the cost of the BMW or AUDI. 
","Rear wheel drive makes it difficult to drive in snowy/icy conditions. Minor issue since I live in the south. No other complaints 
","Awesome car!! by An MSN Autos Consumer on 12/30/2012. Trim: 2013 Infiniti G Sedan 37 Journey, Owned less than 1 year. Useful? ",INFINITI,GSEDAN
